Wall time,step,time
1727932003.135187,0,3.7624692916870117
1727932005.3011677,1,2.009493350982666
1727932007.3433743,2,1.9179794788360596
1727932009.610035,3,2.1495754718780518
1727932011.6329007,4,1.9034836292266846
1727932013.6758273,5,1.9195034503936768
1727932015.9935462,6,2.1889355182647705
1727932018.053547,7,1.9365882873535156
1727932020.0879874,8,1.9065570831298828
1727932022.4122982,9,2.2088937759399414
1727932024.4732168,10,1.9290447235107422
1727932026.531053,11,1.939774990081787
1727932028.8032804,12,2.145533561706543
1727932030.8686726,13,1.9354066848754883
1727932032.9161675,14,1.9194698333740234
1727932035.2381375,15,2.1754801273345947
1727932037.307055,16,1.9422249794006348
1727932039.3407435,17,1.9081745147705078
1727932041.6531491,18,2.183377504348755
1727932043.7068617,19,1.9244582653045654
1727932045.7665915,20,1.935171127319336
1727932048.051473,21,2.1579792499542236
1727932050.1086116,22,1.9367616176605225
1727932052.1529427,23,1.9207534790039062
1727932054.4683762,24,2.1909823417663574
1727932056.50966,25,1.9060487747192383
1727932058.549588,26,1.9153461456298828
1727932060.8551328,27,2.1777255535125732
1727932062.902684,28,1.9293289184570312
1727932064.9539466,29,1.9266154766082764
1727932067.21603,30,2.141448497772217
1727932069.2568138,31,1.9242470264434814
1727932071.3092752,32,1.9229354858398438
1727932073.6274803,33,2.1708905696868896
1727932075.6325436,34,1.8865976333618164
1727932077.6791656,35,1.9196155071258545
1727932079.9805872,36,2.175508737564087
1727932082.0360663,37,1.9307034015655518
1727932084.0903788,38,1.9025137424468994
1727932086.3717558,39,2.156886100769043
1727932088.4212584,40,1.920161247253418
1727932090.4622293,41,1.9190740585327148
1727932092.7530825,42,2.163351535797119
1727932094.7819104,43,1.8937840461730957
1727932096.826311,44,1.9142541885375977
1727932099.1090145,45,2.15483021736145
1727932101.1754026,46,1.9261279106140137
1727932103.195409,47,1.893740177154541
1727932105.4879274,48,2.1635468006134033
1727932107.5406022,49,1.925370216369629
1727932109.5887294,50,1.9190945625305176
1727932111.8528454,51,2.140218496322632
1727932113.892649,52,1.9146082401275635
1727932115.9433105,53,1.9224903583526611
1727932118.2432516,54,2.1723883152008057
1727932120.2969084,55,1.9304096698760986
1727932122.3227403,56,1.8943390846252441
1727932124.6240897,57,2.172886610031128
1727932126.6694827,58,1.9166946411132812
1727932128.7186472,59,1.9270985126495361
1727932131.001093,60,2.151052713394165
1727932133.0540485,61,1.9228541851043701
1727932135.1158175,62,1.9190819263458252
1727932137.4052305,63,2.1687872409820557
1727932139.4247622,64,1.8967039585113525
1727932141.4927945,65,1.9288182258605957
1727932143.7940843,66,2.175398826599121
1727932145.8477495,67,1.9170236587524414
1727932147.8934188,68,1.9114303588867188
1727932150.158513,69,2.1345181465148926
1727932152.2026923,70,1.9139318466186523
1727932154.2556639,71,1.9215915203094482
1727932156.5436866,72,2.1645195484161377
1727932158.5654309,73,1.8939955234527588
1727932160.6105638,74,1.9144344329833984
1727932162.916157,75,2.1617047786712646
1727932164.971689,76,1.9240281581878662
1727932166.9870703,77,1.8858931064605713
1727932169.292439,78,2.177607774734497
1727932171.3361616,79,1.9228579998016357
1727932173.3813565,80,1.9198434352874756
1727932175.6713681,81,2.1577308177948
1727932177.6860335,82,1.889951229095459
1727932179.7513695,83,1.9208362102508545
1727932182.050718,84,2.1722970008850098
1727932184.102644,85,1.910090684890747
1727932186.1122093,86,1.8874340057373047
1727932188.4045758,87,2.1672680377960205
1727932190.445844,88,1.9117481708526611
1727932192.4936666,89,1.9273579120635986
1727932194.769934,90,2.144944429397583
1727932196.816095,91,1.9198086261749268
1727932198.8827035,92,1.9226930141448975
1727932201.1579962,93,2.152529001235962
1727932203.22031,94,1.9237656593322754
1727932205.2318938,95,1.8880383968353271
1727932207.5336173,96,2.1734824180603027
1727932209.5860088,97,1.9207029342651367
1727932211.6317499,98,1.9230036735534668
1727932213.9045217,99,2.143956184387207
1727932215.9484494,100,1.9191555976867676
1727932218.0002944,101,1.911435842514038
1727932220.2869842,102,2.168929100036621
1727932222.3208203,103,1.8923187255859375
1727932224.3754535,104,1.9178051948547363
1727932226.6731565,105,2.172362804412842
1727932228.7215624,106,1.9280893802642822
1727932230.7644513,107,1.9155304431915283
1727932233.0291374,108,2.1454126834869385
1727932235.0768714,109,1.9179580211639404
1727932237.121068,110,1.9259734153747559
1727932239.411675,111,2.1668145656585693
1727932241.42943,112,1.8857426643371582
1727932243.4759457,113,1.9182939529418945
1727932245.7832427,114,2.178457260131836
1727932247.856242,115,1.9309515953063965
1727932249.8956919,116,1.8987867832183838
1727932252.1912944,117,2.169764518737793
1727932254.2458477,118,1.924896240234375
1727932256.2934244,119,1.9240055084228516
1727932258.601246,120,2.1802594661712646
1727932260.626249,121,1.89561128616333
1727932262.6916902,122,1.9368741512298584
1727932264.9886084,123,2.1682021617889404
1727932267.0390918,124,1.923365592956543
1727932269.067304,125,1.8982360363006592
1727932271.362965,126,2.163574457168579
1727932273.4150462,127,1.9110138416290283
1727932275.4665306,128,1.9218509197235107
1727932277.7326124,129,2.140772819519043
1727932279.7797427,130,1.9186692237854004
1727932281.8294694,131,1.921706199645996
1727932284.1260746,132,2.1630778312683105
1727932286.176482,133,1.9311883449554443
1727932288.1962314,134,1.898967981338501
1727932290.5028644,135,2.1727311611175537
1727932292.5389924,136,1.9096970558166504
1727932294.5949636,137,1.92684006690979
1727932296.86983,138,2.1483960151672363
1727932298.9241226,139,1.9181914329528809
1727932300.959893,140,1.919409990310669
1727932303.2525938,141,2.174590826034546
1727932305.2761416,142,1.8967692852020264
1727932307.3256054,143,1.9237539768218994
1727932309.6394534,144,2.191856861114502
1727932311.6992135,145,1.9264330863952637
1727932313.7612786,146,1.9293675422668457
1727932316.0312755,147,2.1443777084350586
1727932318.0845864,148,1.9270923137664795
1727932320.1360579,149,1.9270405769348145
1727932322.4242275,150,2.1757733821868896
1727932324.44742,151,1.8981866836547852
1727932326.494846,152,1.920365571975708
1727932328.802306,153,2.1798899173736572
1727932330.8486087,154,1.9255635738372803
1727932332.879997,155,1.9007806777954102
1727932335.1888924,156,2.175581932067871
1727932337.2301395,157,1.9235305786132812
1727932339.280937,158,1.9317784309387207
1727932341.5814805,159,2.175170660018921
1727932343.6037464,160,1.9006221294403076
1727932345.6642709,161,1.9333362579345703
1727932347.9630227,162,2.1795802116394043
1727932350.016624,163,1.9262335300445557
1727932352.0315573,164,1.8924312591552734
1727932354.3334363,165,2.16764497756958
1727932356.3896658,166,1.9299890995025635
1727932358.4385495,167,1.92879056930542
1727932360.7122927,168,2.149533748626709
1727932362.7685654,169,1.9273536205291748
1727932364.8245008,170,1.9219062328338623
1727932367.1265905,171,2.1756582260131836
1727932369.1758752,172,1.9210104942321777
1727932371.2295325,173,1.9041826725006104
1727932373.5385513,174,2.18312406539917
1727932375.6223507,175,1.9343466758728027
1727932377.6840835,176,1.931807041168213
1727932379.9673276,177,2.1635754108428955
1727932382.026134,178,1.9433488845825195
1727932384.0871594,179,1.9310448169708252
1727932386.3934858,180,2.1791961193084717
1727932388.4330308,181,1.9077355861663818
1727932390.4927862,182,1.9334354400634766
1727932392.795257,183,2.173802375793457
1727932394.841197,184,1.9153788089752197
1727932396.8948545,185,1.9262988567352295
1727932399.1628337,186,2.148874521255493
1727932401.20252,187,1.9141268730163574
1727932403.2593105,188,1.9278855323791504
1727932405.5814114,189,2.1896255016326904
1727932407.6081858,190,1.9034013748168945
1727932409.6737883,191,1.9378690719604492
1727932411.9977264,192,2.184990882873535
1727932414.0546045,193,1.9329330921173096
1727932416.086853,194,1.9014222621917725
1727932418.406647,195,2.1939074993133545
1727932420.462433,196,1.9329524040222168
1727932422.5179615,197,1.9325037002563477
1727932424.8300633,198,2.183458089828491
1727932426.8529956,199,1.9061999320983887
